Date,Close,High,Low,Open,Volume
1490816243,832.3400,832.4100,832.3400,832.4100,1300
1490816298,832.4800,832.4850,832.3700,832.4850,2300
1490816356,832.4600,832.4700,832.3000,832.3200,1700
1490816407,832.5400,832.5400,832.3673,832.3800,2600
1490816470,832.3500,832.4450,832.2800,832.4450,3600
1490816578,832.2599,832.4200,832.1700,832.3000,5700
1490816581,832.4100,832.4100,832.0601,832.2300,3100
1490816659,832.2400,832.3300,832.1800,832.2500,4900
1490816705,832.1500,832.2750,832.0700,832.2750,3000
1490816770,832.5001,832.5001,832.2300,832.2300,2800
1490816820,832.3100,832.4950,832.2101,832.4950,3200
1490816882,832.3000,832.3600,832.1200,832.3400,3100
1490816999,832.4100,832.4999,832.1500,832.1900,7500
1490817059,832.5900,832.6050,832.0601,832.3700,12900
1490817060,832.6300,832.7100,832.5050,832.5050,15600
1490817120,832.3900,832.6201,832.3800,832.5750,7200
1490817183,832.0601,832.3799,832.0300,832.3799,6400
1490817240,831.9000,832.1499,831.7900,832.0400,12900
1490817300,831.4301,831.8655,831.4300,831.8100,10200
1490817419,831.5800,831.8000,831.4300,831.5200,8600
1490817423,831.3599,831.5700,831.2600,831.5700,7900
1490817481,831.9000,831.9000,831.2100,831.2600,16500
1490817540,831.4200,831.9000,831.0800,831.6800,41300
1490817600,831.4100,831.4100,831.4100,831.4100,53700
